userId,factor_0,factor_1,factor_2
1,0.3380181806891378,0.32169843601471376,0.34028338329614843
2,0.3332794878536043,0.3266061920197313,0.3401143201266644
3,0.3332070345966332,0.3229316153156945,0.34386135008767227
4,0.3337791384419727,0.3239536310949212,0.342267230463106
5,0.3375947258267594,0.32921289676114,0.33319237741210056
6,0.3404810183391891,0.3228410351137311,0.3366779465470799
7,0.33043435410413335,0.32310396016571596,0.3464616857301507
8,0.33180824095078215,0.3233070476777205,0.34488471137149734
9,0.3383925914678419,0.3275813804228518,0.3340260281093063
10,0.33608951130513853,0.32423851599962966,0.3396719726952318
11,0.32123425336107686,0.3326853706909323,0.3460803759479908
12,0.34106168365760386,0.3217546276294987,0.3371836887128974
13,0.3376123245782634,0.3221245507754894,0.34026312464624703
14,0.3336163968208226,0.32967063083721,0.3367129723419674
15,0.34012582812019815,0.32449774291744593,0.3353764289623559
16,0.34374380579205416,0.32756802653186695,0.32868816767607895
17,0.33704957539332014,0.3269646729271204,0.33598575167955946
18,0.33967325984770946,0.32789483012882026,0.3324319100234703
19,0.3362600730346102,0.32387772617200883,0.3398622007933809
20,0.32851545341024674,0.33034881980727765,0.3411357267824756
21,0.3486146272300068,0.31121862349471024,0.3401667492752829
22,0.33701127145911386,0.32883969661275886,0.3341490319281273
23,0.3315083831944476,0.3247252979598564,0.34376631884569603
24,0.3364162799958687,0.32490490288777124,0.3386788171163601
25,0.3360813945199288,0.32319089792959865,0.34072770755047244
26,0.3290230384748883,0.3324789460399916,0.33849801548512015
27,0.3234000365924563,0.336979160711849,0.3396208026956946
28,0.32909794311928603,0.32549748781150983,0.3454045690692042
29,0.3390773848040562,0.3218652494756419,0.3390573657203019
30,0.33671625781760695,0.3197426029611516,0.34354113922124146
31,0.3376040618932168,0.3216503867523557,0.3407455513544275
32,0.33188993915781856,0.32701768167664325,0.3410923791655383
33,0.33108190969559176,0.32470272222067054,0.34421536808373765
34,0.33729367276807987,0.32245055150225244,0.3402557757296678
35,0.3276167330877592,0.3258979450196341,0.3464853218926067
36,0.33427497352283136,0.32715981172475805,0.3385652147524105
37,0.34820641604699293,0.32687638636912814,0.324917197583879
38,0.33192533272266916,0.32667827680594447,0.3413963904713863
39,0.33623987184340276,0.3304554360001743,0.333304692156423
40,0.33949695592415985,0.3268946511814871,0.3336083928943531
41,0.35151840455552985,0.31209653894903855,0.3363850564954315
42,0.33400311569934626,0.32776048509645345,0.33823639920420023
43,0.33870903772727884,0.32149447740059584,0.3397964848721254
44,0.34035068183531275,0.32510051617546093,0.3345488019892264
45,0.33062949204584896,0.3273843110464312,0.34198619690771986
46,0.32992311172789296,0.3232344184001938,0.3468424698719132
47,0.33535637639009186,0.32563555220650636,0.3390080714034017
48,0.33340076061625584,0.3305387665223757,0.33606047286136853
49,0.3325745860859766,0.33022008106890355,0.33720533284511983
50,0.33157799734774474,0.3287390793313235,0.3396829233209317
51,0.3447241343259088,0.3201386812792822,0.33513718439480894
52,0.3363517858809361,0.3264178967359955,0.33723031738306847
53,0.3325322664375872,0.3275332741805452,0.33993445938186756
54,0.32290884514498,0.32667595988378895,0.3504151949712311
55,0.3402012520453681,0.31809401151175454,0.34170473644287735
56,0.3382932426316785,0.3311729753183131,0.33053378205000844
57,0.3411722925953748,0.32607675188578106,0.33275095551884415
58,0.33485309309542594,0.3278024715161462,0.3373444353884279
59,0.3362540330605135,0.3264263042733612,0.3373196626661252
60,0.34357973184163615,0.3188037226168354,0.3376165455415285
61,0.3307938047844103,0.3350119535675393,0.3341942416480504
62,0.3384073729306935,0.3293880528812296,0.3322045741880769
63,0.34036685457498295,0.32449788687902553,0.3351352585459916
64,0.33745780297326156,0.3227831199984869,0.3397590770282516
65,0.335631804802246,0.3242559296963985,0.34011226550135554
66,0.3198114078879636,0.33362473944968624,0.3465638526623501
67,0.3301920088979027,0.3337951748014865,0.33601281630061086
68,0.3433465786958754,0.3244034898058935,0.332249931498231
69,0.33187654040261005,0.32747358639577906,0.340649873201611
70,0.3373139108765588,0.32675524661933086,0.3359308425041104
71,0.3372499681775818,0.3204543907554193,0.342295641066999
72,0.3307319350850628,0.3318303524426503,0.337437712472287
73,0.3362517996713111,0.32523474473151137,0.33851345559717766
74,0.32052715167938806,0.3362675809245947,0.3432052673960172
75,0.3348891672223924,0.32227413681272465,0.34283669596488286
76,0.33325205131444535,0.3286550368569481,0.33809291182860657
77,0.35176049545120863,0.3325293503009836,0.3157101542478077
78,0.3330322477440538,0.3245333220629267,0.34243443019301956
79,0.3294589630034246,0.33195537627029664,0.3385856607262788
80,0.3290598414068727,0.32731539744836485,0.34362476114476237
81,0.32558562476680547,0.32879331285690044,0.3456210623762942
82,0.3331211856369242,0.32484261657481267,0.3420361977882631
83,0.34056223266895486,0.3228601460596858,0.3365776212713594
84,0.3332464775102274,0.32483312711637463,0.34192039537339786
85,0.3163109663178843,0.3267449130258652,0.35694412065625053
86,0.33046633953987103,0.3271103497610118,0.34242331069911724
87,0.31483778719192923,0.32312687179143756,0.3620353410166332
88,0.33434279141897844,0.32882315968200504,0.3368340488990166
89,0.3322955230990269,0.3232857000740689,0.3444187768269042
90,0.3277846515683238,0.3283665551830126,0.34384879324866363
91,0.33403699839125495,0.3220685676435902,0.34389443396515473
92,0.33765672683187076,0.3283536430207233,0.33398963014740596
93,0.3322996436258187,0.3261668975751848,0.3415334587989965
